iter	Passed	Remaining
429	1731	2295
430	1735	2291
431	1739	2287
432	1743	2283
433	1747	2278
434	1751	2275
435	1756	2271
436	1759	2267
437	1763	2262
438	1767	2258
439	1771	2254
440	1775	2250
441	1779	2246
442	1783	2242
443	1787	2237
444	1791	2233
445	1794	2228
446	1798	2224
447	1801	2220
448	1805	2215
449	1809	2211
450	1813	2207
451	1817	2203
452	1821	2199
453	1826	2196
454	1829	2191
455	1833	2187
456	1837	2183
457	1841	2179
458	1845	2175
459	1850	2172
460	1854	2168
461	1858	2164
462	1862	2160
463	1866	2156
464	1870	2152
465	1874	2148
466	1878	2144
467	1882	2140
468	1886	2136
469	1890	2132
470	1894	2128
471	1898	2124
472	1902	2120
473	1906	2115
474	1910	2111
475	1914	2107
476	1918	2103
477	1922	2099
478	1926	2094
479	1930	2090
480	1934	2087
481	1938	2083
482	1942	2079
483	1947	2075
484	1950	2071
485	1954	2067
486	1958	2062
487	1962	2059
488	1966	2055
489	1970	2051
490	1975	2047
491	1979	2043
492	1983	2039
493	1987	2036
494	1991	2032
495	1995	2028
496	1999	2023
497	2003	2019
498	2007	2015
499	2012	2012
500	2016	2008
501	2020	2004
502	2025	2000
503	2028	1996
504	2032	1992
505	2036	1988
506	2040	1984
507	2044	1980
508	2048	1976
509	2053	1972
510	2056	1968
511	2061	1964
512	2064	1960
513	2068	1956
514	2072	1951
515	2076	1947
516	2080	1944
517	2084	1939
518	2088	1935
519	2092	1931
520	2096	1927
521	2099	1922
522	2103	1918
523	2108	1914
524	2112	1911
525	2116	1907
526	2120	1903
527	2124	1899
528	2128	1895
529	2132	1891
530	2137	1887
531	2140	1883
532	2144	1879
533	2149	1875
534	2153	1871
535	2156	1866
536	2160	1862
537	2164	1858
538	2168	1854
539	2171	1850
540	2175	1845
541	2180	1842
542	2184	1838
543	2188	1834
544	2192	1830
545	2196	1826
546	2200	1822
547	2204	1818
548	2208	1814
549	2212	1810
550	2216	1806
551	2220	1801
552	2223	1797
553	2227	1793
554	2231	1789
555	2236	1785
556	2239	1781
557	2244	1777
558	2248	1773
559	2252	1769
560	2256	1765
561	2260	1761
562	2264	1757
563	2267	1753
564	2272	1749
565	2276	1745
566	2280	1741
567	2284	1737
568	2287	1732
569	2290	1728
570	2294	1724
571	2299	1720
572	2303	1716
573	2307	1712
574	2311	1708
575	2315	1704
576	2319	1700
577	2323	1696
578	2327	1692
579	2331	1688
580	2335	1684
581	2340	1680
582	2344	1676
583	2348	1672
584	2352	1668
585	2356	1664
586	2360	1660
587	2363	1656
588	2367	1652
589	2371	1648
590	2376	1644
591	2380	1640
592	2384	1636
593	2388	1632
594	2392	1628
595	2395	1624
596	2400	1620
597	2404	1616
598	2408	1612
599	2412	1608
600	2416	1604
601	2420	1600
602	2424	1596
603	2428	1591
604	2432	1588
605	2436	1583
606	2440	1580
607	2444	1575
608	2448	1571
609	2452	1567
610	2455	1563
611	2459	1559
612	2463	1555
613	2467	1551
614	2471	1547
615	2475	1543
616	2479	1539
617	2483	1534
618	2487	1531
619	2491	1527
620	2495	1523
621	2499	1518
622	2503	1514
623	2507	1510
624	2511	1506
625	2515	1502
626	2519	1498
627	2523	1495
628	2527	1490
629	2531	1486
630	2535	1482
631	2539	1478
632	2543	1474
633	2547	1470
634	2552	1466
635	2555	1462
636	2560	1458
637	2564	1454
638	2568	1450
639	2572	1446
640	2576	1442
641	2580	1438
642	2584	1434
643	2588	1430
644	2592	1426
645	2595	1422
646	2600	1418
647	2604	1414
648	2608	1410
649	2612	1406
650	2616	1402
651	2620	1398
652	2624	1394
653	2627	1390
654	2631	1386
655	2636	1382
656	2640	1378
657	2644	1374
658	2648	1370
659	2652	1366
660	2656	1362
661	2660	1358
662	2664	1354
663	2668	1350
664	2672	1346
665	2676	1342
666	2680	1338
667	2684	1334
668	2689	1330
669	2693	1326
670	2697	1322
671	2701	1318
672	2705	1314
673	2709	1310
674	2713	1306
675	2717	1302
676	2722	1298
677	2726	1294
678	2730	1290
679	2733	1286
680	2737	1282
681	2741	1278
682	2745	1274
683	2749	1270
684	2753	1266
685	2757	1262
686	2761	1258
687	2765	1254
688	2769	1250
689	2773	1246
690	2777	1242
691	2781	1238
692	2785	1234
693	2789	1229
694	2793	1225
695	2797	1221
696	2800	1217
697	2805	1213
698	2809	1209
699	2813	1205
700	2818	1202
701	2822	1197
702	2826	1193
703	2830	1189
704	2833	1185
705	2837	1181
706	2841	1177
707	2845	1173
708	2849	1169
709	2853	1165
710	2857	1161
711	2862	1157
712	2866	1153
713	2870	1149
714	2875	1145
715	2878	1141
716	2882	1137
717	2886	1133
718	2890	1129
719	2895	1125
720	2899	1121
721	2903	1117
722	2907	1113
723	2911	1109
724	2914	1105
725	2917	1101
726	2922	1097
727	2925	1093
728	2929	1089
729	2933	1084
730	2937	1080
731	2941	1076
732	2945	1072
733	2948	1068
734	2952	1064
735	2956	1060
736	2961	1056
737	2965	1052
738	2969	1048
739	2973	1044
740	2977	1040
741	2981	1036
742	2984	1032
743	2988	1028
744	2993	1024
745	2997	1020
746	3002	1016
747	3006	1012
748	3010	1008
749	3014	1004
750	3018	1000
751	3022	996
752	3026	992
753	3030	988
754	3034	984
755	3038	980
756	3042	976
757	3046	972
758	3050	968
759	3054	964
760	3058	960
761	3062	956
762	3066	952
763	3069	948
764	3073	944
765	3077	940
766	3081	936
767	3085	932
768	3088	927
769	3092	923
770	3096	919
771	3101	915
772	3105	911
773	3109	907
774	3113	903
775	3117	899
776	3120	895
777	3125	891
778	3129	887
779	3133	883
780	3137	879
781	3141	875
782	3144	871
783	3148	867
784	3152	863
785	3157	859
786	3161	855
787	3165	851
788	3169	847
789	3173	843
790	3177	839
791	3181	835
792	3184	831
793	3188	827
794	3192	823
795	3196	819
796	3200	815
797	3204	811
798	3209	807
799	3212	803
800	3216	799
801	3220	795
802	3224	791
803	3228	787
804	3232	783
805	3236	779
806	3240	775
807	3245	771
808	3249	767
809	3253	763
810	3257	759
811	3261	755
812	3266	751
813	3270	747
814	3274	743
815	3278	739
816	3282	735
817	3286	731
818	3290	727
819	3294	723
820	3298	719
821	3302	715
822	3306	711
823	3310	707
824	3314	703
825	3318	699
826	3322	694
827	3325	690
828	3329	686
829	3333	682
830	3338	678
831	3342	674
832	3346	670
833	3350	666
834	3354	662
835	3359	659
836	3363	655
837	3367	651
838	3371	647
839	3375	643
840	3379	638
841	3383	634
842	3387	630
843	3390	626
844	3395	622
845	3399	618
846	3403	614
847	3407	610
848	3411	606
849	3414	602
850	3417	598
851	3421	594
852	3425	590
853	3429	586
854	3433	582
